iter1;iter2;iter3;iter4;iter5;iter6;iter7;iter8;iter9;iter10;iter11;iter12;iter13;iter14;iter15;iter16;iter17;iter18;iter19;iter20
5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
3;3;3;3;4;4;3;3;3;3;3;2;3;3;3;3;3;3;3;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;5;5;5;5;5;4;4;5;4;4;5;5;5;4;4;5;4;4;4
4;4;4;4;4;4;3;3;4;3;3;4;4;4;3;3;4;4;3;3
4;3;3;4;4;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3
3;3;3;3;3;3;3;3;3;3;3;3;4;3;2;3;3;3;3;3
3;4;2;3;3;2;2;2;3;4;3;2;3;2;3;2;2;2;3;3
4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4
5;5;4;5;5;4;4;4;5;4;4;4;4;5;4;4;4;4;4;4
3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3
2;2;3;4;3;3;2;3;2;3;3;2;3;3;3;3;3;3;3;2
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
4;4;4;3;4;4;4;3;4;4;4;4;4;4;3;4;4;4;4;4
4;4;4;3;4;4;4;4;3;4;4;4;4;4;3;4;3;3;4;4
4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
3;4;3;3;4;3;3;3;3;3;4;3;4;3;3;3;4;4;3;3
2;3;2;2;3;3;2;3;2;2;3;2;3;2;2;2;2;2;2;2
3;2;2;3;3;3;3;2;4;3;3;3;4;4;3;3;2;4;3;3
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4
3;3;3;3;3;3;3;3;2;3;3;2;3;2;2;2;2;3;3;2
2;2;2;2;2;2;2;0;2;0;2;0;2;0;0;2;0;2;2;0
4;3;3;3;4;3;3;3;3;3;3;4;4;4;4;4;3;4;3;3
