Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20
5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4
2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2
3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,2,2,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,5,5,5,4,5,4,5,5,4,4,5,5,4,5,5,4,4,5,5
3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,2,3,3,4
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2
3,2,3,3,3,3,3,2,3,2,3,3,3,1,1,3,3,1,3,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,5,5,5,4,5,5,5,5,5,4,5,5,4,5,5,4,4,4,5
3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,2,3,3
3,4,4,4,3,4,4,4,4,3,4,4,4,2,3,4,3,3,3,4
2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,2,1,1,3,2
4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5
5,5,5,5,4,5,5,5,5,5,4,5,5,4,5,5,4,5,5,5
2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,1,1,1,3,2
3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,3,3
2,1,1,3,2,2,2,2,2,1,3,3,2,3,2,2,3,1,2,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,2,4,3,3,3,3,3,2,2,3,3,3,4,3,3,3,3,4
2,1,1,2,1,1,2,2,2,1,1,1,1,2,2,1,1,2,2,2
1,1,1,2,2,2,2,1,1,1,2,2,2,1,2,2,2,1,2,2
3,3,3,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3
2,2,2,3,2,2,3,2,2,2,3,2,2,1,2,2,1,1,2,3
1,1,1,2,2,2,2,2,2,1,2,2,1,0,1,1,0,1,3,2
